,PSNR
247,38.0496018269965
248,42.7014038664935
249,31.8561228931651
250,41.4132107576545
251,41.7271032766249
252,38.1418893276827
253,40.4796226663469
254,36.0265062020961
255,42.046757919144
256,34.73556746246
257,39.4234678753844
258,42.337468274054
259,42.866868837372
260,42.6744386202759
261,40.7017785999286
262,34.5614423809791
263,42.9534083361196
264,42.6388079718081
265,39.4973586370393
266,43.591512394125
267,40.4802985124857
268,40.9183612395522
269,43.2615544822541
270,34.8350001098625
271,41.8190699340277
272,38.6277056648865
273,42.5932362669497
274,36.6497509735391
275,41.2474856713063
276,41.8801272972877
277,41.0767974815004
278,41.7694328386648
279,37.629952963843
280,41.265236585319
281,40.1434654583107
282,43.1600569357
283,36.871391957054
284,38.3262860936747
285,42.7723912323812
286,38.1133700816656
287,30.83268669939
288,42.0654994616564
289,38.2891076740386
290,36.0724383763558
291,36.4545398193023
292,42.0644530990493
293,41.5335230689163
294,35.2130853753991
295,39.2117572451516
296,40.8902709820916
297,42.9906081662703
298,36.0571174316471
299,38.8751394707072
300,35.4425039940369
301,41.4131837874294
302,39.8321642829529
303,41.4512628546409
304,42.2062330720178
305,41.9855688362107
306,42.3915700542531
307,44.3057252158691
308,41.1790229823362
309,41.824666854941
310,39.0004181990832
311,42.6764224734535
312,37.7218365467271
313,41.1322865314313
314,45.0328214999804
315,32.5190565277831
316,34.9253123918331
317,39.5814435192984
318,42.8899605798698
319,39.864652448441
320,37.7922483377602
321,40.2652883236737
322,31.6138825842099
323,41.9580425771857
324,41.6874576465818
325,37.633354939329
326,41.1374894455968
327,43.7904083277939
328,33.7574505120262
329,36.1058127633486
330,43.423459983042
331,41.7373426523791
332,40.6802797204747
333,37.2563056392855
334,42.5550033784315
335,42.3794371702523
336,38.7587094423051
337,43.6257998336678
338,39.1647856593816
339,40.7034296205779
340,42.919773208392
341,35.1471255959207
342,40.612812383567
343,40.3517100794864
344,41.7926513606795
345,40.7244507435852
346,40.2923686885577
347,42.1711454290261
348,35.0098774664154
349,37.6278617689162
350,33.7807891278619
351,44.2505326901887
352,43.2030460573478
353,42.063460523501
354,37.4974031638076
355,43.8098472608353
356,31.9592199847744
357,33.9036113054397
358,41.8714608331365
359,42.4528539597149
360,41.1981195050499
361,38.8759497094299
362,35.813996927767
363,41.6340714111643
364,37.9193112911372
365,38.7823617895082
366,40.4888229902637
367,38.4038578127201
368,43.3236153618937
369,41.4947812044059
370,41.7653861873327
371,36.7435079709559
372,39.2215526895904
373,31.0155463498532
374,41.838489312507
375,38.8438791969494
376,43.1098785382804
377,41.9480877926281
378,41.5562543888428
379,38.142893796104
380,42.5726016936716
381,37.0614433676305
382,37.9967502619157
383,40.8771355776289
384,40.1820228014472
385,42.1273748338973
386,40.2856762693761
387,42.0424450362318
388,41.8968492623092
389,42.3327775333904
390,43.4640939281051
391,42.5047211206171
392,42.0623531106883
393,36.1755284462073
394,41.5770512596506
395,38.8963092931241
396,40.1018652526811
397,39.5567570081278
398,41.7912066787051
399,39.8221968695315
400,40.8018308252639
401,39.1157883480593
402,43.0452410243422
403,28.9846589605237
404,34.2264771870635
405,29.7124657673913
406,43.5573343918947
407,37.6585163280968
408,42.7180721867722
409,44.2061803296783
410,41.4753628016445
411,41.1866957300799
412,39.3686731641145
413,39.047468042222
414,41.0405498518754
415,40.3216080106815
416,41.970256185284
417,41.7823646119627
418,41.8980588413166
419,36.9127584028967
420,39.2211659243574
421,40.1979052038655
422,42.6786665722655
423,34.9228583075446
424,41.9725252919448
425,41.2301093000983
426,38.8646921440694
427,42.7079964719366
428,39.1720807823015
429,39.9659706466136
430,34.8715696604229
431,42.707913043679
432,43.1960193225498
433,42.1398550284295
434,41.6048942843378
435,42.1651241187705
436,41.0343687374407
437,41.0976727561416
438,41.781521187843
439,43.2064604181372
440,43.7474106561103
441,43.125510852264
442,43.1862454972248
443,41.7089554125013
444,35.4646203299287
445,40.7826292618581
446,38.6972518751144
447,29.1150886078435
448,38.4006083802213
449,40.4745240160196
450,40.5380207450439
451,40.9788049082263
452,42.3381150089764
453,42.9616630458579
454,37.9411772308489
455,36.6351645268041
456,42.3297256007819
457,35.7026309615813
458,42.1700336134403
459,38.9364511967003
460,43.1145826458252
461,38.7549620418988
462,42.0428796766836
463,42.7531911119709
464,41.7847894429681
465,37.3030877893862
466,42.2197265610129
467,43.6788996270605
468,39.8396523183109
469,41.7171153716838
470,43.7320673967583
471,41.6659745448535
472,39.9708377385439
473,42.1903622564854
474,41.6552893093243
475,41.805817482084
476,42.0625828974964
477,33.1007326193625
478,42.7750789913737
479,41.0385980373671
480,42.1096907908502
481,43.5622320265496
482,41.1371111040954
483,42.4381094871332
484,38.4065553631197
485,42.5906855018682
486,42.3988817072927
487,37.4347964616755
488,44.1511771035149
489,36.5397684222187
490,42.917227846305
491,38.213538932061
492,42.7313062281963
493,42.8862270791471
494,36.4719695188337
495,42.3944692966541
496,40.9221205462324
497,42.7020512467985
498,33.3744578127406
499,42.3308174572923
500,42.1735991648652
501,40.333781877492
502,36.7729116166465
503,41.256262361217
