,PSNR
430,36.1570567125634
431,41.3823873949204
432,41.8166592960494
433,41.1218615126442
434,40.2944837343822
435,40.7928348590918
436,39.7721568812644
437,39.8109937631071
438,41.1478669829654
439,41.8255303757351
440,42.3610031088245
441,41.7522319064374
442,41.8199482058962
443,40.3398534920977
444,37.5932235270281
445,39.5505162924405
446,37.7801139116132
447,33.0499213442836
448,37.681018641259
449,39.4300855259171
450,41.0985809451283
451,40.7552905201427
452,41.0045177272262
453,41.5827049679424
454,37.511634622239
455,36.3020687608066
456,40.9468636785631
457,35.5655773641263
458,40.8742981466548
459,37.8648421948234
460,41.7166696113233
461,39.9451588899279
462,40.6638263143257
463,41.5328741231055
464,40.4369141587656
465,38.3213967513646
466,40.8504387686711
467,42.2896413270156
468,40.2745791036402
469,40.3635725422208
470,42.3548892061279
471,40.2989532020037
472,38.7436815835251
473,40.9895918339153
474,40.3138206329768
475,40.4817672989647
476,40.7042602302011
477,37.3093394918048
478,41.4293868126924
479,39.7340354731193
480,40.7366679650487
481,42.1610898641291
482,40.2958088926544
483,41.0750498575263
484,38.5498881836168
485,41.2873735184579
486,41.0252552960789
487,36.174551812566
488,42.7287063177196
489,36.5954755037839
490,41.5673032660563
491,37.6300720057121
492,41.3604984890906
493,41.6770906097967
494,37.4740237889147
495,41.3514031427199
496,40.8590752073609
497,41.3212272924741
498,36.585395582971
499,41.0656759094615
500,40.8204075112005
501,40.2148935618733
502,37.209872003348
503,39.9500546792389
504,40.6496652953536
505,38.0895117427051
506,40.998452585393
507,39.3223518503575
508,40.5095258528859
509,36.940445346714
510,39.6470480149316
511,36.7596196974195
512,39.3067200034722
513,41.7866393060664
514,40.272105363056
515,43.0342873916398
516,41.6411992967972
517,41.2373676344178
518,38.7619875848296
519,40.5007344377812
520,37.7573315065876
521,39.5477646681283
522,41.3743176034728
523,40.4632680558977
524,41.6174258734955
525,41.3997870180537
526,37.654067353707
527,40.8515614332045
528,39.0145831940835
529,42.4634382521726
530,40.3830744463176
531,38.9621590222181
532,38.0032435346864
533,39.8633087342381
534,40.8590648250295
535,40.6520371094084
536,41.2230848242015
537,41.0800138848899
538,32.5672903343942
539,35.3972106656909
540,39.5653590184138
541,41.6353026965184
542,41.1509454220938
543,42.9201180419521
544,40.7474750366952
545,43.7007695769542
546,42.4692757700932
547,40.3214126055891
548,42.697473136278
549,39.9019374618502
550,39.3229908336684
551,34.7453959756376
552,40.1233348265941
553,42.0768231289902
554,36.6097761539376
555,37.8718071511287
556,39.1982827435479
557,38.0444760520817
558,40.352693056266
559,40.0826055040317
560,42.733728587603
561,35.5313378108289
562,38.0850932563857
563,35.9298573239229
564,37.8021604172774
565,35.4528915285226
566,38.003487395539
567,36.4434229897353
568,41.0236482832912
569,39.6226513570359
570,40.5965983654454
571,39.8136453337181
572,39.8402176169771
573,37.5460704688666
574,40.90468121146
575,38.3037638003302
576,37.2456519119347
577,39.9394648371028
578,41.5759523479746
579,37.7221205963847
580,40.3318614080142
581,40.5523811106414
582,41.3580947521454
583,41.6278894835148
584,37.5773876579771
585,36.0125166756903
586,38.7713247447155
587,40.8608578755435
588,39.7885759844989
589,39.7466501042495
590,39.0698272435983
591,37.4921125985992
592,40.321800962495
593,41.179007054001
594,40.5842687635641
595,32.8160383340771
596,39.7453323608262
597,36.273322862715
598,37.2959099574837
599,39.7930844072236
600,41.2859605415699
601,39.4262096488854
602,39.7049367236902
603,40.4815039641446
604,38.4162384619076
605,40.5507561081623
606,38.2494209177781
607,39.488751178079
608,38.5990664195596
609,38.6898352470525
610,40.5142638768066
611,43.8672611412413
612,39.0032479987954
613,40.2301850896191
614,37.7686797402066
615,39.5740259568289
616,39.1347898092906
617,38.4177433016663
618,40.6572305924143
619,38.6763354895478
620,41.1089535976968
621,35.9072471327339
622,40.1887901491566
623,38.9341601442112
624,38.5487271801724
625,41.3295961767054
626,37.650222285412
627,42.3291402920335
628,41.6797444948396
629,40.7603722166668
630,43.0629413176628
631,37.3595743570174
632,39.5472426961745
633,40.2219886391682
634,41.0544284740885
635,41.4437281437721
636,40.4155162171666
637,39.0682161375627
638,42.4380102573494
639,39.4916904630031
640,41.7357142631291
641,43.1546088532678
642,38.3430669287657
643,38.3087529876596
644,40.6096165406273
645,42.1276418276749
646,37.538791476998
647,40.8582066381187
648,40.5962237328352
649,38.561904787844
650,41.0131185606487
651,41.3919665577121
652,41.335999313119
653,37.203225791573
654,41.0464825907835
655,38.66192801412
656,41.4415707566805
657,36.5599137599723
658,37.9670497673743
659,37.6735466803156
660,40.350057465865
661,39.8819914758838
662,39.6128556111695
663,39.5104334542312
664,40.0501816644097
665,39.2334143904583
666,40.0171113921951
667,36.1590134226007
668,37.7449550835356
669,40.2139030845245
670,39.3757198469766
671,41.627327703351
672,41.4478757115418
673,40.8770634818105
674,40.3479895243524
675,39.9775933359519
676,39.0385031851945
677,41.6387096568328
678,39.3561988324166
679,39.713525468269
680,41.0479751774956
681,39.2489728386577
682,41.1527335464103
683,39.6616574984355
684,35.6074279610633
685,39.5535130661782
686,40.8789543724938
687,39.8196779057478
688,40.1441973450953
689,40.6180911436052
690,42.4976074724882
691,39.3745197994782
